,Open,High,Low,Close,Tesla Trading Volume,Adj Close
1 December 2016,110.370003,118.019997,108.25,115.82,30201100,115.82
1 November 2016,113.459999,113.769997,104.080002,110.519997,35912600,110.519997
3 October 2016,112.709999,118.690002,112.279999,113.540001,33968200,112.960037
1 September 2016,106.139999,116.18,102.529999,113.050003,47828300,112.472542
1 August 2016,104.410004,110.230003,104,106.099998,28686500,105.558037
1 July 2016,95.489998,104.550003,94.370003,104.209999,35675600,103.11908
1 June 2016,99.019997,101.889999,91.5,95.599998,37040500,94.599213
2 May 2016,93.970001,100.730003,89.470001,99.860001,44886900,98.814621
1 April 2016,108.779999,112.389999,92.510002,93.739998,44806000,92.197342
1 March 2016,97.650002,110.419998,97.419998,108.989998,35088000,107.196381
1 February 2016,96.470001,98.889999,92.589996,96.690002,42303900,95.098801
4 January 2016,102.610001,105.849998,92.389999,97.339996,70286300,95.221397